date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:25:56%20GMT	http://unicaevents.ancorathemes.com/?p=4	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index5c7e.html	(from http://unicaevents.ancorathemes.com/typography/)
17:54:43	2236/2236	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:25:56%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fabout-us%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedfacb.json	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:25:57%20GMT	http://unicaevents.ancorathemes.com/?p=1243	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index4e41.html	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:44	2333/2333	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:25:57%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fabout-us%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedf380	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:46	8841/8841	---M--	200	added ('OK')	image/jpeg	etag:%22565c9292-2289%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/10/Rectangle-16-copy-2.jpg?id=1022	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/10/Rectangle-16-copy-2a0f1.jpg	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:46	9012/9012	---M--	200	added ('OK')	image/png	etag:%22565c9290-2334%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/graphicriver.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/graphicriver.png	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:48	8767/8767	---M--	200	added ('OK')	image/png	etag:%22565c9292-223f%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/photodune.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/photodune.png	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:48	9392/9392	---M--	200	added ('OK')	image/png	etag:%22565c9292-24b0%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/audiojingle.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/audiojingle.png	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:49	8253/8253	---M--	200	added ('OK')	image/png	etag:%22565c9292-203d%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/codecanyon.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/codecanyon.png	(from http://unicaevents.ancorathemes.com/about-us/)
17:54:50	7353/7353	---M--	200	added ('OK')	image/png	etag:%22565c9292-1cb9%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/activeden.png	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/activeden.png	(from http://unicaevents.ancorathemes.com/about-us/)
